# Supplementary Table ST15. List of Pfam domain models in chromatin proteins.,,,,,,
Entry,SimChrom-SL,Total number of Pfam domains,Number of distinct Pfam models,pfamA_ids,Domain annotations,Distinct domain annotations
Q8IZX4,General TFs,5,4,"Bromodomain,TBP-binding,DUF3591,zf-CCHC_6","Histone acetylation, reader;Histone acetylation, reader","Histone acetylation, reader"
Q5FWF4,Chromatin remodelers,4,4,"Helicase_C,zf-RanBP,HNH,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q9UIG0,Histone PTM writers,4,4,"Bromodomain,PHD,WAC_Acf1_DNA_bd,WSD","DNA binding;Histone acetylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, reader;Histone methylation, reader"
Q07864,DNA-acting enzymes,4,4,"DNA_pol_B_exo1,DUF1744,POL2_thumb,zf-DPOE",,
Q9NQV7,Histone PTM writers,15,4,"KRAB,PRDM2_PR,zf-C2H2_5,zf-C2H2","DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
Q9P2D1,Chromatin remodelers,6,4,"Helicase_C,Chromo,BRK,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
Q9H9B1,Histone PTM writers,6,4,"SET,Pre-SET,EHMT1-2_CRR,Ank_2","Histone methylation, writer","Histone methylation, writer"
O75717,DNA replication,5,4,"Mcl1_mid,ANAPC4_WD40,Ctf4_C,WD40",Histone binding;Histone binding,Histone binding
Q9H0A0,Histone PTM writers,4,4,"Helicase_RecD,TmcA_N,GNAT_acetyltr_2,tRNA_bind_2",,
Q13415,Telomere-associated,4,4,"AAA,BAH,Cdc6_C,AAA_lid_10","Histone methylation, reader","Histone methylation, reader"
Q9H2K2,Telomere-associated,12,4,"PARP,Ank,Ank_2,SAM_2",,
P33993,DNA-acting enzymes,4,4,"MCM,MCM_N,MCM_OB,MCM_lid",,
Q96T88,Methylated DNA binding,4,4,"ubiquitin,PHD,SAD_SRA,TTD","Histone methylation, reader","Histone methylation, reader"
P51530,DNA-acting enzymes,5,4,"Dna2,AAA_11,AAA_12,Dna2_Rift",,
Q9Y2K7,Histone PTM erasers,4,4,"F-box,zf-CXXC,PHD_4,JHD",DNA binding,DNA binding
Q93009,DNA repair,4,4,"UCH,USP7_ICP0_bdg,USP7_C2,MATH_2",,
O60244,Regulation of transcription,4,4,"Med14,Med14_RM2,Med14_RM8,Med14_RM6",,
O14978,Housekeeping DNA-binding TFs,10,4,"KRAB,SCAN,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q92900,DNA-acting enzymes,5,4,"UPF1_Zn_bind,AAA_11,AAA_12,UPF1_1B_dom",,
O14771,Housekeeping DNA-binding TFs,6,4,"KRAB,SCAN,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P17024,Non-Housekeeping DNA-binding TFs,10,4,"KRAB,zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O15457,DNA-acting enzymes,4,4,"MutS_V,MutS_II,MutS_IV,MutS_III",,
O60832,DNA-acting enzymes,4,4,"PUA,TruB_N,DKCLD,TruB_C_2",,
Q9NQX1,Non-Housekeeping DNA-binding TFs,16,4,"zf-met,zf-C2H2_6,PRDM2_PR,zf-C2H2","DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Histone methylation, writer","DNA binding;Histone methylation, writer"
Q01826,Housekeeping DNA-binding TFs,5,4,"Homeodomain,CUT,ULD,CUTL",DNA binding,DNA binding
Q96S55,DNA-acting enzymes,4,4,"AAA,MgsA_C,AAA_assoc_2,zf-WRNIP1_ubi",,
Q92833,Histone PTM readers,4,4,"ARID,JmjC,JmjN,zf-C5HC2","DNA binding;DNA binding;Histone methylation, eraser;Histone methylation, eraser","DNA binding;Histone methylation, eraser"
P25205,DNA-acting enzymes,4,4,"MCM,MCM_N,MCM_OB,MCM_lid",,
Q99543,Histone PTM readers,4,4,"DnaJ,Myb_DNA-binding,RAC_head,ZUO1-like_ZHD",DNA binding,DNA binding
Q96NG5,Housekeeping DNA-binding TFs,8,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O60673,DNA-acting enzymes,4,4,"DNA_pol_B,DNA_pol_B_exo1,zf-C4pol,DUF4683",,
Q9Y4C1,Histone PTM erasers,4,4,"JmjC,KDM3B_Tudor,PWWP_KDM3B,DUF7030","Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q9NP87,DNA-acting enzymes,4,4,"DNA_pol_lambd_f,HHH_8,DNA_pol_B_thumb,DNA_pol_B_palm",,
Q7L2E3,DNA-acting enzymes,4,4,"DEAD,Helicase_C,OB_NTP_bind,HA2_C",Chromatin remodeling,Chromatin remodeling
O43264,Centromere-associated,4,4,"Zw10_N,ZW10_C2,ZW10_C,Zw10_middle",,
P13010,DNA-acting enzymes,4,4,"Ku,Ku_C,Ku_N,Ku_PK_bind",,
P12956,DNA-acting enzymes,4,4,"SAP,Ku,Ku_C,Ku_N",,
Q9H7R0,Non-Housekeeping DNA-binding TFs,13,4,"KRAB,zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P20585,DNA-acting enzymes,4,4,"MutS_V,MutS_I,MutS_II,MutS_III",,
Q86YA3,DNA-acting enzymes,4,4,"zf-GRF,AAA_11,AAA_12,ZGRF1-like_N",,
Q86XN6,Housekeeping DNA-binding TFs,16,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q12830,Histone PTM readers,5,4,"Bromodomain,PHD,DDT,WSD","DNA binding;DNA binding;Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","DNA binding;Histone acetylation, reader;Histone methylation, reader"
P21675,Other families with HMG-box domain,5,4,"Bromodomain,TBP-binding,DUF3591,zf-CCHC_6","Histone acetylation, reader;Histone acetylation, reader","Histone acetylation, reader"
P09884,DNA-acting enzymes,4,4,"DNA_pol_B,DNA_pol_B_exo1,zf-DNA_Pol,DNA_pol_alpha_N",,
Q9Y2X0,Regulation of transcription,4,4,"Med16_N,Med16_C,Med16_bridge,WD40",Histone binding,Histone binding
P06746,DNA-acting enzymes,4,4,"DNA_pol_lambd_f,HHH_8,DNA_pol_B_thumb,DNA_pol_B_palm",,
O95625,Housekeeping DNA-binding TFs,12,4,"BTB,zf-C2H2_6,Integrase_H2C2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q8IYD8,DNA-acting enzymes,4,4,"DEAD,Helicase_C,ERCC4,FANCM-MHF_bd",Chromatin remodeling,Chromatin remodeling
Q8TDG4,DNA-acting enzymes,4,4,"DEAD,Helicase_C,POLQ_helical,HTH_61",Chromatin remodeling,Chromatin remodeling
Q8NEM1,Housekeeping DNA-binding TFs,10,4,"KRAB,zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P27694,Telomere-associated,4,4,"tRNA_anti-codon,Rep-A_N,Rep_fac-A_C,REPA_OB_2",,
P81133,Non-Housekeeping DNA-binding TFs,4,4,"HLH,PAS,SIM_C,PAS_3",,
Q99814,Housekeeping DNA-binding TFs,4,4,"PAS,HIF-1a_CTAD,HIF-1,PAS_11",,
P28370,Chromatin remodelers,4,4,"Helicase_C,HAND,SLIDE,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
P55072,DNA repair,6,4,"AAA,CDC48_N,CDC48_2,AAA_lid_3",,
Q9UPW6,Non-Housekeeping DNA-binding TFs,5,4,"Homeodomain,CUT,ULD,CUTL",DNA binding,DNA binding
O60264,Chromatin remodelers,4,4,"Helicase_C,HAND,SLIDE,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q9Y2A4,Non-Housekeeping DNA-binding TFs,15,4,"KRAB,zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y2G1,Non-Housekeeping DNA-binding TFs,4,4,"NDT80_PhoG,Peptidase_S74,MYRF_ICA,MRF_C2",,
Q7Z7L1,DNA replication,4,4,"SLFN_AlbA_2,SLFN-g3_helicase,B3R,SLFN_GTPase-like",,
P06400,Chromatin remodelers,4,4,"RB_B,RB_A,Rb_C,DUF3452",,
Q53H47,Histone PTM writers,4,4,"SET,Transposase_1,Pre-SET,HTH_48","Histone methylation, writer","Histone methylation, writer"
Q9Y4E8,Histone PTM readers,4,4,"UCH,DUSP,USP7_C2,Ubiquitin_3",,
Q9NW38,DNA repair,4,4,"FANCL_d1,FANCL_C,FANCL_d3,FANCL_d2",,
Q15652,Histone modification,4,4,"JmjC,KDM3B_Tudor,PWWP_KDM3B,DUF7030","Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q13472,DNA-acting enzymes,5,4,"Topoisom_bac,zf-C4_Topoisom,Toprim,zf-GRF",,
Q14527,Chromatin remodelers,4,4,"Helicase_C,HIRAN,zf-C3HC4_2,SNF2-rel_dom",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
O15550,Histone PTM erasers,4,4,"JmjC,TPR_8,KDM6_GATAL,KDM6_C-hel","Histone methylation, eraser","Histone methylation, eraser"
Q12874,RNA processing,4,4,"SF3a60_Prp9_C,SF3a60_bindingd,SDE2_2C,SF3A3",,
Q3L8U1,Chromatin remodelers,6,4,"Helicase_C,Chromo,BRK,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
P23497,Housekeeping DNA-binding TFs,4,4,"HMG_box,SAND,HSR,HMG_box_2",DNA binding,DNA binding
Q9NU22,Preribosome-associated,13,4,"AAA_5,MDN1_4th,AAA_lid_7,AAA_lid_5",,
Q01201,Non-Housekeeping DNA-binding TFs,4,4,"RHD_DNA_bind,RHD_dimer,RelB_leu_zip,RelB_transactiv",,
Q00653,Non-Housekeeping DNA-binding TFs,8,4,"Death,RHD_DNA_bind,RHD_dimer,Ank",,
Q9HCK8,Histone PTM readers,5,4,"Helicase_C,Chromo,BRK,SNF2-rel_dom","Chromatin remodeling;Chromatin remodeling;Histone methylation, reader;Histone methylation, reader","Chromatin remodeling;Histone methylation, reader"
Q01831,DNA repair,4,4,"Rad4,BHD_1,BHD_2,BHD_3",,
P33991,DNA-acting enzymes,4,4,"MCM,MCM_N,MCM_OB,MCM_lid",,
Q7LBC6,Histone PTM erasers,4,4,"JmjC,KDM3B_Tudor,PWWP_KDM3B,DUF7030","Histone methylation, eraser;Histone methylation, reader;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q9H930,Housekeeping DNA-binding TFs,4,4,"Bromodomain,PHD,SAND,HSR","Histone acetylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
Q9UGP5,DNA-acting enzymes,4,4,"DNA_pol_lambd_f,HHH_8,DNA_pol_B_thumb,DNA_pol_B_palm",,
O95271,Telomere-associated,16,4,"PARP,Ank_5,Ank,SAM_2",,
P19838,Housekeeping DNA-binding TFs,8,4,"Death,RHD_DNA_bind,RHD_dimer,Ank",,
Q9Y2M0,DNA-acting enzymes,4,4,"VRR_NUC,FAN1_HTH,FAN1_TPR,Fan1_SAP",,
Q8N163,RNA processing,4,4,"DBC1,S1-like,BURAN,LAIKA",,
Q9ULU4,Histone PTM readers,4,4,"Bromodomain,PHD,PWWP,DUF3544","Histone acetylation, reader;Histone methylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
Q8NB78,Histone PTM erasers,3,3,"Amino_oxidase,SWIRM,zf-CW",DNA binding;DNA binding,DNA binding
Q6ZMT4,Histone PTM erasers,3,3,"PHD,JmjC,JHD","Histone methylation, eraser;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q05516,Non-Housekeeping DNA-binding TFs,6,3,"BTB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9UPP1,Histone PTM erasers,3,3,"PHD,JmjC,JHD","Histone methylation, eraser;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q5VVJ2,Histone PTM erasers,3,3,"Myb_DNA-binding,JAB,SWIRM",DNA binding;DNA binding,DNA binding
O43189,Histone PTM readers,3,3,"PHD,Mtf2_C,Tudor_2","Histone methylation, reader;Histone methylation, reader","Histone methylation, reader"
P35789,Non-Housekeeping DNA-binding TFs,16,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O15164,Histone PTM readers,3,3,"Bromodomain,PHD,zf-B_box","Histone acetylation, reader;Histone methylation, reader","Histone acetylation, reader;Histone methylation, reader"
O15054,Histone PTM erasers,3,3,"JmjC,KDM6_GATAL,KDM6_C-hel","Histone methylation, eraser","Histone methylation, eraser"
Q9Y6X9,Heterochromatin-associated,3,3,"zf-CW,HATPase_c_3,Morc6_S5",DNA binding,DNA binding
Q9BQW3,Non-Housekeeping DNA-binding TFs,3,3,"TIG,COE1_DBD,COE1_HLH",,
P53041,Histone PTM erasers,3,3,"Metallophos,TPR_1,PPP5",,
Q7Z2E3,DNA-acting enzymes,3,3,"DcpS_C,zf-C2HE,FHA_2",,
Q13207,Non-Housekeeping DNA-binding TFs,3,3,"T-box,TBX2-3_TAD,TBX2-3_RD",,
Q96NY9,DNA-acting enzymes,3,3,"ERCC4,EME1-MUS81_C,MUS81-like_WH",,
Q9UJA3,DNA-acting enzymes,3,3,"MCM,MCM_OB,MCM_lid",,
Q9UHC1,DNA-acting enzymes,3,3,"DNA_mis_repair,HATPase_c,MutL_C",,
Q8N5P1,Non-Housekeeping DNA-binding TFs,3,3,"zf-CCCH,zf-CCCH_9,zf_CCCH_4",,
Q8N7M2,Non-Housekeeping DNA-binding TFs,14,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9NXL9,DNA-acting enzymes,3,3,"MCM,MCM_OB,MCM_lid",,
Q8N859,Non-Housekeeping DNA-binding TFs,5,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N8Z8,Non-Housekeeping DNA-binding TFs,12,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N988,Non-Housekeeping DNA-binding TFs,9,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q15554,DNA-acting enzymes,3,3,"Myb_DNA-binding,TRF,TERF2_RBM",DNA binding,DNA binding
Q96SC8,Non-Housekeeping DNA-binding TFs,3,3,"DM,DMA,DMRT5_DMB",,
Q8N9Z0,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8NC26,Non-Housekeeping DNA-binding TFs,3,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding,DNA binding
Q8NCN2,Non-Housekeeping DNA-binding TFs,4,3,"BTB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q8NDQ6,Non-Housekeeping DNA-binding TFs,18,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8NHY6,Non-Housekeeping DNA-binding TFs,16,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y253,DNA-acting enzymes,3,3,"IMS,IMS_C,zf_UBZ",,
Q8TF39,Non-Housekeeping DNA-binding TFs,12,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q969P6,DNA-acting enzymes,3,3,"Topoisom_I,Topoisom_I_N,Topo_C_assoc",,
Q8WYA1,Non-Housekeeping DNA-binding TFs,3,3,"HLH,PAS,PAS_11",,
Q92670,Non-Housekeeping DNA-binding TFs,6,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q92614,DNA-acting enzymes,4,3,"Myosin_head,PDZ,Myosin_tail_1",,
Q92499,DNA-acting enzymes,4,3,"DEAD,Helicase_C,SPRY",Chromatin remodeling,Chromatin remodeling
Q8TAT5,DNA-acting enzymes,4,3,"zf-RanBP,H2TH,zf-GRF",,
Q17RS7,DNA-acting enzymes,3,3,"XPG_N,XPG_I,Chromo_2",,
Q8NFZ0,DNA-acting enzymes,3,3,"UvrD-helicase,F-box-like,UvrD_C",,
Q96IR2,Non-Housekeeping DNA-binding TFs,24,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8N3C0,DNA-acting enzymes,6,3,"DEAD,Helicase_C,Sec63",Chromatin remodeling;Chromatin remodeling,Chromatin remodeling
Q96MR9,Non-Housekeeping DNA-binding TFs,15,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86UW6,DNA-acting enzymes,3,3,"Smr,DUF1771,AAA_33",,
Q96N22,Non-Housekeeping DNA-binding TFs,11,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9UNA4,DNA-acting enzymes,3,3,"IMS,IMS_C,IMS_HHH_1",,
Q8IYX0,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q03188,Heterochromatin-associated,3,3,"CENP-C_C,CENP-C_mid,CENP_C_N",,
P18074,General TFs,3,3,"DEAD_2,HBB,Helicase_C_2",,
Q99743,Non-Housekeeping DNA-binding TFs,3,3,"HLH,PAS,PAS_11",,
Q9UKN8,General TFs,3,3,"TFIIIC_delta,zf-TFIIIC,DUF5921",,
Q92994,General TFs,4,3,"TFIIB,BRF1,TF_Zn_Ribbon",,
Q92830,General TFs,3,3,"Bromodomain,Acetyltransf_1,PCAF_N","Histone acetylation, reader","Histone acetylation, reader"
Q15973,Non-Housekeeping DNA-binding TFs,9,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q2VY69,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q32M78,Non-Housekeeping DNA-binding TFs,14,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q5JNZ3,Non-Housekeeping DNA-binding TFs,11,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q5SXM1,Non-Housekeeping DNA-binding TFs,11,3,"zf-H2C2_2,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q5VZB9,Non-Housekeeping DNA-binding TFs,3,3,"DM,DMA,DMRT5_DMB",,
Q96N58,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P23193,General TFs,3,3,"TFIIS_C,TFIIS_M,Med26",,
Q6ZMV8,Non-Housekeeping DNA-binding TFs,10,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
P19447,General TFs,3,3,"ResIII,Helicase_C_3,ERCC3_RAD25_C",,
Q6ZN06,Non-Housekeeping DNA-binding TFs,13,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q9Y5K1,DNA-acting enzymes,3,3,"SPO11_like,TP6A_N,TOP6A-Spo11_Toprim",,
Q6ZNG0,Non-Housekeeping DNA-binding TFs,6,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6ZSB9,Non-Housekeeping DNA-binding TFs,8,3,"BTB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
Q9UBL3,Euchromatin-associated,3,3,"SPRY,PHD_ash2p_like,ASH2L-like_WH",,
Q9NQT5,Euchromatin-associated,3,3,"KH_6,RRP40_S1,RRP40_N_mamm",,
O60885,Histone PTM readers,4,3,"Bromodomain,BET,BRD4_CDT","Histone acetylation, reader;Histone acetylation, reader","Histone acetylation, reader"
Q86TJ5,Non-Housekeeping DNA-binding TFs,7,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86UP3,Non-Housekeeping DNA-binding TFs,6,3,"Homeodomain,zf-met,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q6PGP7,Euchromatin-associated,5,3,"TPR_8,TPR_16,TPR_19",,
Q86Y25,Non-Housekeeping DNA-binding TFs,10,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q86YE8,Non-Housekeeping DNA-binding TFs,19,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8IVC4,Non-Housekeeping DNA-binding TFs,9,3,"KRAB,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8IVP9,Non-Housekeeping DNA-binding TFs,8,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q01780,Euchromatin-associated,3,3,"HRDC,DNA_pol_A_exo1,PMC2NT",,
Q8IWI9,Non-Housekeeping DNA-binding TFs,3,3,"HLH,T-box,MGA_dom",,
P29083,General TFs,3,3,"TFIIE_alpha,TF_Zn_Ribbon,TFIIE-A_C",,
Q5TC79,Non-Housekeeping DNA-binding TFs,4,3,"BTB,zf-met,zf-C2H2",DNA binding;DNA binding;Dimerization/oligomerization,DNA binding;Dimerization/oligomerization
O75151,Histone PTM readers,3,3,"PHD,JmjC,JHD","Histone methylation, eraser;Histone methylation, reader","Histone methylation, eraser;Histone methylation, reader"
Q8TAQ5,Housekeeping DNA-binding TFs,19,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8WV37,Housekeeping DNA-binding TFs,11,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O14628,Housekeeping DNA-binding TFs,9,3,"KRAB,zf-C2H2_6,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
O14709,Housekeeping DNA-binding TFs,23,3,"KRAB,SCAN,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
Q8TF50,Housekeeping DNA-binding TFs,5,3,"zf-C2H2_6,zf-C2H2,zf-C2H2_4",DNA binding;DNA binding;DNA binding,DNA binding
Q8TF32,Housekeeping DNA-binding TFs,11,3,"KRAB,zf-H2C2_2,zf-C2H2",DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding;DNA binding,DNA binding
